番号,百景,ポイント,説明,緯度,経度,写真,画像URL1,画像URL2,画像URL3,画像URL4,画像URL5
1_1,義経や親鸞も通った　加越国境の旧北陸道,切通し道（あわら市細呂木）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.267437,136.248734,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/11.jpg,,,,
1_2,義経や親鸞も通った　加越国境の旧北陸道,越前の国への道標「右　吉崎（蓮如道）、左　細呂木（一里）」（加賀市橘町）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.283688,136.271072,,,,,,
1_3,義経や親鸞も通った　加越国境の旧北陸道,越前に続く旧北陸道（市史跡）（あわら市細呂木）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.276402,136.262466,,,,,,
1_4,義経や親鸞も通った　加越国境の旧北陸道,細呂木関所跡（市史跡）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.263412,136.2491,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/14.jpg,,,,
1_5,義経や親鸞も通った　加越国境の旧北陸道,千束一里塚（県史跡）（あわら市北金津）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.224403,136.223862,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/15.jpg,,,,
1_6,義経や親鸞も通った　加越国境の旧北陸道,坂ノ下宿場口跡（市史跡）（あわら市花乃杜）,あわら市の旧北陸道沿いには、関所や一里塚など、各所に当時の街道の風景が残されています。江戸時代初期には福井藩が細呂木に関所を設けるとともに、街道沿いに一里塚を設け、旅人の里程の目安と休憩の場としてきました。,36.218151,136.222427,,,,,,
2_1,20万株の花菖蒲　北潟湖,北潟湖の朝日,福井県最北端の北潟湖は、湖に架かる真っ赤な「アイリスブリッジ」、20万株の花菖蒲が咲き乱れる湖畔の花菖蒲園、湖周辺の風力発電の風車など多種多様な風景が見られます。,36.261402,136.225616,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/21.jpg,,,,
2_2,20万株の花菖蒲　北潟湖,300種20万株の花菖蒲（花菖蒲園）,福井県最北端の北潟湖は、湖に架かる真っ赤な「アイリスブリッジ」、20万株の花菖蒲が咲き乱れる湖畔の花菖蒲園、湖周辺の風力発電の風車など多種多様な風景が見られます。,36.263256,136.232758,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/22.jpg,,,,
2_3,20万株の花菖蒲　北潟湖,風力発電の風車と北潟湖とアイリスブリッジ,福井県最北端の北潟湖は、湖に架かる真っ赤な「アイリスブリッジ」、20万株の花菖蒲が咲き乱れる湖畔の花菖蒲園、湖周辺の風力発電の風車など多種多様な風景が見られます。,36.25597,136.232864,,,,,,
2_4,20万株の花菖蒲　北潟湖,北潟湖でのカヌー交流大会,福井県最北端の北潟湖は、湖に架かる真っ赤な「アイリスブリッジ」、20万株の花菖蒲が咲き乱れる湖畔の花菖蒲園、湖周辺の風力発電の風車など多種多様な風景が見られます。,36.258533,136.228714,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/24.jpg,,,,
2_5,20万株の花菖蒲　北潟湖,北潟湖畔イベント（観月の夕べ）で灯すロウソクの灯り,福井県最北端の北潟湖は、湖に架かる真っ赤な「アイリスブリッジ」、20万株の花菖蒲が咲き乱れる湖畔の花菖蒲園、湖周辺の風力発電の風車など多種多様な風景が見られます。,36.260056,136.227936,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/25.jpg,,,,
3_1,蓮如上人布教の聖地　吉崎御坊,遊歩道から望む吉崎御坊別院,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.287724,136.251953,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/31.jpg,,,,
3_2,蓮如上人布教の聖地　吉崎御坊,吉崎御坊跡（御山）から望む「鹿島の森」,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.287663,136.25029,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/32.jpg,,,,
3_3,蓮如上人布教の聖地　吉崎御坊,吉崎御坊跡（国史跡）に整備された公園,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.287334,136.251266,,,,,,
3_4,蓮如上人布教の聖地　吉崎御坊,本願寺吉崎別院　念力門（市文化財）,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.288452,136.251297,,,,,,
3_5,蓮如上人布教の聖地　吉崎御坊,高村光雲作の「蓮如上人銅像」,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.286854,136.250687,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/35.jpg,,,,
3_6,蓮如上人布教の聖地　吉崎御坊,蓮如上人記念館,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.289284,136.251541,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/36.jpg,,,,
3_7,蓮如上人布教の聖地　吉崎御坊,吉崎諸寺院の遠景,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.289169,136.247803,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/37.jpg,,,,
3_8,蓮如上人布教の聖地　吉崎御坊,蓮如上人御影道中,蓮如上人像が立つ吉崎御坊跡（御山(おやま)）からは、北潟湖や湖に浮かぶ「鹿島の森」や周辺の木々など、室町時代の蓮如や信仰厚い門徒たちも同じように眺めた風景がそこにはあります。,36.288235,136.251923,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/38.jpg,,,,
4_1,文人墨客に愛された名湯　あわら温泉,田園の中のあわら温泉,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.208858,136.189575,,,,,,
4_2,文人墨客に愛された名湯　あわら温泉,落ち着いた雰囲気のあわら温泉街,あわら温泉は周囲を坂井平野の水田に囲まれ、のどかな雰囲気の中に落ち着いた温泉街の風景が見られ、水上勉や田山花袋（かたい）等の多くの文人墨客に愛されてきました。,36.225117,136.193054,○,https://info.pref.fukui.lg.jp/opendata/hyakkei/42.jpg,,,,
