店舗,店舗名,郵便番号,地域,住所,営業時間,定休日,メニュー1,価格1,メニュー2,価格2,メニュー3,価格3,メニュー4,価格4,メニュー5,価格5,内容,備考,電話番号,座席数,駐車場台数,緯度,経度,画像URL1,画像URL2,画像URL3,画像URL4
1,フランス料理　ル・サンオンズ,914-0077,敦賀,敦賀市栄新町3-14,11:30～14:00、17:00～21:30,月、第3日,本日のお魚Bランチ,"1,550",ワンプレートマドモアゼル,"1,050",,,,,,,地元でその日に水揚げされた旬の魚を、それぞれに合ったスタイルで「みなと町つるがスタイル」のフレンチに仕立てます。また、併設の酒販店で、福井の地酒が試飲できます。　一皿にパン、サラダ、スープ、地魚、小さなデザート等を盛り付けてお出しします。女性向けに少しずついろいろなものをカラフルに提供します。,,0770-23-2372,22,8,35.6585428,136.0763958,http://info.pref.fukui.jp/opendata/wakasaji/2-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/2-2.jpg,,
2,ニューサンピア敦賀  レストラン ビィアンヴニュ,914-0813,敦賀,敦賀市呉羽町2番地,11:00～14:00、18:00～21:00,,若狭おもてなし膳,"2,800",海鮮丼,"1,200",若狭彩弁当,"2,500",サーモンとイクラの親子丼,"1,500",,,若狭を訪れるお客様をおもてなしする心で、新鮮な海の幸、山の幸を活かし、ご満足いただけるご膳に仕上げました。ぜひ、ご堪能ください。※食材は季節により異なる場合がございます。　海鮮丼：敦賀港水揚げの新鮮なお魚をトッピングした丼、小鉢、茶碗蒸し、香の物、汁物がついて、女性の方へもおすすめの食べやすい上品な海鮮丼ランチです。　若狭彩弁当：県産・若狭の旬の食材を取り入れ、海・山の恵みを味わえるメニューとなっております。季節の旬の食材を彩りよく、食べやすくお重に盛り付けました。食後のデザートも充実したお弁当に仕上げました。サーモンとイクラの親子丼：寿司ネタとしても人気のサーモンを、酢飯と綿糸たまご、イクラとあわせてどんぶりにしました。,,0770-24-2111,80,200,35.6371783,136.0561197,http://info.pref.fukui.jp/opendata/wakasaji/1-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/1-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/1-3.jpg,http://info.pref.fukui.jp/opendata/wakasaji/1-4.jpg
3,海鮮DINING　丼,914-0125,敦賀,敦賀市若葉町1-1531　日本海さかな街内,11:00～18:00,日本海さかな街の定休日に準ずる,若狭丼,"1,500",福井サーモン丼（ミニ）,"1,500",,,,,,,若狭丼は、福井県産こしひかりの上に、若狭の味覚、かに、いか、甘エビ、鯖へしこ、鯖煮ほぐし身がのります。銀しゃりとの相性バツグン！！また、福井サーモン丼は福井県産のサーモンをメインに国産のスモークサーモンと北海道のイクラを使用した贅沢な丼です。,,0770-21-5107,80,400,35.6346932,136.0499184,http://info.pref.fukui.jp/opendata/wakasaji/3-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/3-2.jpg,,
4,かに喰亭ますよね,914-0125,敦賀,敦賀市若葉町1-1531　日本海さかな街内,11:00～18:00,日本海さかな街の定休日に準ずる,あぶり焼きさば定食,"1,500",,,,,,,,,敦賀港直送のお造りと、秘伝のタレに漬け込んださばフィレをじっくりあぶった焼きさば。福井県産炊きたてコシヒカリとの相性も抜群です。,,0770-32-3590,150,400,35.6346779,136.0499157,http://info.pref.fukui.jp/opendata/wakasaji/4-1.jpg,,,
5,歳月苑,914-0814,敦賀,敦賀市木崎28-7-1,11:30～14:00,月,若狭の海釜めし膳　竹コース,"3,800",若狭の海釜めし膳　梅コース,"2,500",,,,,,,「竹コース」季節の釜めし、季節のお刺身盛り、若狭地魚の焼き物、若狭焼きへしこ、旬野菜のサラダ、若狭自慢の一品九種盛り、お吸物、香の物、デザート。新鮮な地魚や珍味へしこを味わう絶品ランチ！！「梅コース」季節の釜めし、季節のお刺身、旬野菜のサラダ、若狭自慢の一品九種盛り、お吸物、香の物、デザート。お手頃価格の海鮮満喫ランチ！！,要予約,0770-25-2132,50,4（大型バス）,35.64369,136.046381,http://info.pref.fukui.jp/opendata/wakasaji/20-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/20-2.jpg,,
6,花城 与三郎寿司,914-0801,敦賀,敦賀市松島130-170-12,11:30～14:00、17:00～22:00,木,旬の地魚御膳,"2,700",若狭路どんぶり,"2,160",,,,,,,季節の地魚が、造り、握り、焼物で楽しめます。旬の味を福井県産コシヒカリとともに存分にご堪能ください。　その日おすすめの地魚や敦賀ふぐ（季節限定）、季節の野菜がのった寿司どんぶり。,,0770-25-8676,42,5,35.656006,136.0452299,http://info.pref.fukui.jp/opendata/wakasaji/5-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/5-2.jpg,,
7,お食事処　うおさき,914-0054,敦賀,敦賀市白銀町1-10,11:30～14:00、17:00～21:00,土,地魚の造り定食,"1,800",地魚の海鮮丼,"1,500",,,,,,,旬の魚を毎日、市場から仕入れています。お店はＪＲ敦賀駅から徒歩で約１分のところにあります。,,0770-25-7751,28,なし（近隣に駐車場あり）,35.6458811,136.0765635,http://info.pref.fukui.jp/opendata/wakasaji/6-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/6-2.jpg,,
8,食事処 建（たけし）,914-0054,敦賀,敦賀市白銀町4-9,11:00～14:00、17:00～22:00,火,海鮮丼,"1,700",ふぐめし定食,"1,500",松前海鮮丼,"1,800",,,,,すし飯の上に甘く味付けたふぐのそぼろと、ポン酢に漬け込んだふぐの身とふぐの皮をのせた丼です。敦賀ふぐをたっぷり使った丼をぜひ一度ご賞味ください。地元敦賀で獲れた魚をふんだんに使った海鮮丼です。地物の魚と敦賀の昆布、福井県産米（コシヒカリ）を使用。敦賀伝統の手すきおぼろ昆布のおいしさを知ってください。,,0770-25-2276,50,なし（近隣に駐車場あり）,35.6462383,136.0748663,http://info.pref.fukui.jp/opendata/wakasaji/9-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/9-2.jpg,http://info.pref.fukui.jp/opendata/wakasaji/9-3.jpg,
9,鮮旬処　よって家,914-0125,敦賀,敦賀市若葉町1-1531日本海さかな街内,8:30～18:00,日本海さかな街の定休日に準ずる,松原丼,"1,580",スペシャルサーモン丼,"1,490",,,,,,,地物のタイ、ブリなどの切身に加えて、女性に好評のサーモンも多くのせてあります。スペシャルサーモン丼は、ヘルシーで女性に大人気のサーモンのすべてを一つの丼ぶりに凝縮しました。サーモン好きにはたまらない一品です。価格もお値打ちにしました。,,0770-20-0357,52,400,35.634231,136.0499506,http://info.pref.fukui.jp/opendata/wakasaji/7-1.jpg,http://info.pref.fukui.jp/opendata/wakasaji/7-2.jpg,,
10,TEA ROOM Pine,914-0054,敦賀,敦賀市白銀町1-15,8:00～22:00,月、第３日曜日,へしこスパゲッティ,850,,,,,,,,,へしこを使った和風スパゲッティ。少し塩味が強いパスタの上に乗せて、当店オリジナルのトマトソースに絡めています。（Ｓ）、（Ｍ）、（Ｌ）の３つのサイズからお選びいただけます。,,0770-24-0958,24,3,35.6456664,136.0763275,http://info.pref.fukui.jp/opendata/wakasaji/8-1.jpg,,,
